"Country Name", 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 
"Dominican Republic", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47.8, 0, 0, 50.5, 0, 0, 51.4, 0, 0, 0, 47.4, 48.9, 0, 0, 51.5, 50.0, 49.7, 52.1, 52.1, 50.0, 52.0, 48.9, 48.1, 48.9, 47.3, 47.7, 46.1, 47.7, 44.3, 45.2, 45.7, 42.2, 43.7, 41.9, 39.6, 38.5, 0, 0
"Algeria", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40.2, 0, 0, 0, 0, 0, 0, 35.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"Ecuador", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53.4, 0, 0, 0, 0, 58.6, 56.4, 0, 0, 53.5, 53.9, 53.1, 52.3, 53.4, 49.8, 48.5, 48.8, 45.9, 46.1, 46.9, 45.0, 46.0, 45.0, 44.7, 45.4, 45.7, 47.3, 45.8, 45.5, 0
"Egypt, Arab Rep.", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.0, 0, 0, 0, 0, 30.1, 0, 0, 0, 32.8, 0, 0, 0, 0, 31.8, 0, 0, 0, 31.1, 0, 30.2, 0, 28.3, 0, 0, 31.8, 0, 31.5, 0, 31.9, 0, 0, 0, 0
"Eritrea", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"Spain", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34.5, 0, 0, 0, 0, 34.4, 0, 0, 0, 0, 32.0, 0, 0, 35.7, 35.1, 35.7, 36.5, 35.3, 34.6, 33.8, 34.1, 0, 0, 31.8, 33.3, 32.4, 33.5, 34.1, 34.2, 34.9, 35.2, 35.7, 35.4, 36.2, 36.1, 36.2, 35.8, 34.7, 34.7, 34.3, 34.9, 0, 0, 0
"Estonia", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37.2, 33.6, 33.4, 33.7, 31.2, 31.9, 31.4, 32.0, 32.5, 32.9, 35.1, 34.6, 32.7, 31.2, 30.4, 30.3, 30.8, 30.7, 0, 0, 0
"Ethiopia", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44.6, 0, 0, 0, 30.0, 0, 0, 0, 0, 29.8, 0, 0, 0, 0, 0, 33.2, 0, 0, 0, 0, 35.0, 0, 0, 0, 0, 0, 0, 0, 0
"Finland", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22.2, 0, 0, 0, 22.9, 0, 0, 0, 23.5, 0, 0, 0, 0, 27.2, 0, 0, 27.7, 27.9, 27.6, 28.0, 28.3, 27.8, 27.5, 27.7, 27.6, 27.1, 27.2, 26.8, 27.1, 27.1, 27.4, 27.3, 27.7, 27.1, 0, 0, 0
"France", 0, 0, 0, 0, 0, 0, 0, 0, 37.1, 0, 0, 0, 0, 35.9, 0, 0, 0, 34.0, 0, 0, 0, 0, 33.4, 0, 0, 0, 0, 0, 32.1, 0, 0, 0, 0, 0, 32.0, 31.9, 31.7, 32.5, 32.6, 32.5, 31.8, 31.4, 30.6, 29.8, 29.7, 32.4, 33.0, 32.7, 33.7, 33.3, 33.1, 32.5, 32.3, 32.7, 31.9, 31.6, 32.4, 31.2, 30.7, 0, 0, 0
"Micronesia, Fed. Sts.", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42.4, 0, 0, 0, 0, 0, 0, 0, 40.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"Gabon", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38.0, 0, 0, 0, 0, 0, 0
